款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤5:总资产(判断公司实力) 人工对照同行业公司,6557892.0,5395002.0,4903959.0,4143815.0,3273497.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,21.55%,10.01%,18.34%,26.59%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),28.90%,34.06%,31.95%,24.27%,29.65%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),483.47%※,400.45%※,532.18%※,0.00%,131.92%※
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,-13987.0※,-10173.0※,-2341.0※,8272.0,-11929.0※
步骤8:应付预收/应收预付 1(判断公司地位),77.18%※,73.61%※,92.56%※,132.97%,56.32%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),39.26%,40.33%淘汰,36.80%,32.14%,32.00%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.08%,7.64%,11.30%※,10.50%※,6.56%
,,,,,
步骤11:利润表-管理费用变动幅度(搜索异常),30.68%※,7.88%,-2.09%,34.27%※,
步骤11:利润表-营业利润变动幅度(搜索异常),240.36%※,-39.42%※,-42.20%※,86.01%※,
步骤11:利润表-利润总额变动幅度(搜索异常),245.04%※,-39.60%※,-42.66%※,84.91%※,
步骤11:利润表-净利润变动幅度(搜索异常),239.38%※,-39.19%※,-42.81%※,84.40%※,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),252.94%※,-41.38%※,-42.74%※,89.99%※,
,,,,,
步骤11:现金流量表- 支付的其他与经营活动有关的现金变动幅度(搜索异常),53.50%※,82.40%※,-7.17%,20.80%,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),181.82%※,-18.76%,-45.44%※,57.50%※,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),-19.43%,3306.96%※,274.50%,-55.60%,
步骤11:现金流量表- 处置固定资产、无形资产和其他长期资产所收回的现金净额变动幅度(搜索异常),120.42%※,-19.95%,9.19%,24.25%,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),-2.46%,397.38%※,12.56%,22.82%,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),31.79%※,-3.83%,34.14%※,61.09%※,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),28.85%,429.41%※,-56.73%※,4.30%,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),32.32%※,55.83%※,4.36%,36.52%※,
步骤11:现金流量表- 取得借款收到的现金变动幅度(搜索异常),34.13%※,1.32%,3700999900.00%※,-100.00%※,
步骤11:现金流量表- 发行债券收到的现金变动幅度(搜索异常),-100.00%,-100.00%※,2499999900.00%※,-100.00%,
步骤11:现金流量表- 筹资活动现金流入小计变动幅度(搜索异常),0.61%,-17.46%,24580.83%※,-99.09%※,
步骤11:现金流量表- 偿还债务支付的现金变动幅度(搜索异常),97.80%※,1003.65%※,-90.21%※,-50.61%※,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),82.24%※,-44.76%※,10.70%,308.51%※,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),89.57%※,3.24%,-24.46%,13.88%,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),140.24%※,42.61%,-46.98%,1.75%,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),96.78%※,140.24%※,42.61%,-46.98%,
步骤11:现金流量表- 净利润变动幅度(搜索异常),239.38%※,-39.19%※,-42.81%※,84.40%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),38.17%,-180.12%,-114.37%※,72.63%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),181.82%※,-18.76%,-45.44%※,57.50%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),96.78%※,140.24%※,42.61%,-46.98%,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),140.24%※,42.61%,-46.98%,1.75%,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",96.72%※,98.84%※,97.52%※,98.23%※,98.37%※
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),27.75%,2.84%※,-6.23%※,23.05%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",27.66%※,16.85%※,20.06%※,28.22%※,19.57%※
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),7.72%,7.72%,7.23%,6.77%,6.26%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,1423369.0,505507.0,708454.0,1282573.0,631245.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),19.47%,8.83%淘汰,12.73%淘汰,21.61%,13.09%淘汰
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),96.30%,118.01%,99.89%,103.69%,94.37%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,1444450.0,425612.0,699903.0,1223792.0,663648.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),127.31%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",30.96%,11.45%淘汰,20.70%,38.70%,27.87%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),543493.0,-97429.0淘汰,96913.0,622174.0,187635.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,1239198.0,940260.0,977668.0,728857.0,452465.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,67.70%,144.78%※,122.30%※,49.74%,48.64%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负负,正负负,正负正※,正负负,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,750920.0,426335.0,518855.0,368061.0,109839.0
