款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,-57246.0※,-38997.0※,-26564.0※,-23331.0※,-16282.0※
步骤8:应付预收/应收预付 1(判断公司地位),0.48%※,0.62%※,0.36%※,0.57%※,0.03%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),19.81%,21.76%,13.80%,11.33%,11.89%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.04%,0.05%,0.08%,0.10%,0.12%
,,,,,
步骤11:利润表-营业总收入变动幅度(搜索异常),31.73%※,50.29%※,48.51%※,2.68%,
步骤11:利润表-营业收入变动幅度(搜索异常),31.73%※,50.29%※,48.51%※,2.68%,
步骤11:利润表-营业总成本变动幅度(搜索异常),28.77%,42.94%※,36.85%※,2.43%,
步骤11:利润表-营业成本变动幅度(搜索异常),26.14%,54.13%※,51.53%※,14.77%,
步骤11:利润表-财务费用变动幅度(搜索异常),88.22%※,-4.02%,-8.63%,-39.66%※,
步骤11:利润表-营业利润变动幅度(搜索异常),28.18%,49.66%※,100.24%※,4.06%,
步骤11:利润表-营业外收入变动幅度(搜索异常),75.65%,-41.76%,-97.49%※,84.63%※,
步骤11:利润表-利润总额变动幅度(搜索异常),28.49%,49.15%※,48.75%※,17.22%,
步骤11:利润表-所得税费用变动幅度(搜索异常),8.96%,75.18%※,17.70%,50.63%※,
步骤11:利润表-净利润变动幅度(搜索异常),31.68%※,45.61%※,54.27%※,12.77%,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),31.67%※,46.01%※,54.27%※,12.77%,
,,,,,
步骤11:现金流量表- 销售商品、提供劳务收到的现金变动幅度(搜索异常),30.28%※,28.26%,57.88%※,-1.16%,
步骤11:现金流量表- 收到的税费返还变动幅度(搜索异常),-13.48%,9.08%,-0.68%,83.90%※,
步骤11:现金流量表- 经营活动现金流入小计变动幅度(搜索异常),27.99%,29.74%,51.77%※,1.34%,
步骤11:现金流量表- 购买商品、接受劳务支付的现金变动幅度(搜索异常),50.30%※,66.27%※,154.05%※,-15.08%,
步骤11:现金流量表- 支付的各项税费变动幅度(搜索异常),21.65%,35.38%※,16.73%,39.33%※,
步骤11:现金流量表- 支付的其他与经营活动有关的现金变动幅度(搜索异常),42.02%※,94.66%,22.52%,-8.28%,
步骤11:现金流量表- 经营活动现金流出小计变动幅度(搜索异常),36.64%※,47.65%※,48.40%※,10.16%,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),16.66%,11.95%,55.27%※,-6.45%,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),-74.29%※,-48.02%※,579.09%※,-50.92%※,
步骤11:现金流量表- 收到的其他与投资活动有关的现金变动幅度(搜索异常),-100.00%,-100.00%,-29.30%,-61.54%※,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),-73.62%※,-49.11%※,472.01%※,-53.20%※,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),13.79%,142.31%※,78.48%※,16.83%,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),-50.11%※,-76.67%※,160.88%※,-20.69%,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),6.72%,16.02%,118.24%※,-4.88%,
步骤11:现金流量表- 吸收投资收到的现金变动幅度(搜索异常),402.67%,-96.17%※,87549900.00%※,-100.00%※,
步骤11:现金流量表- 取得借款收到的现金变动幅度(搜索异常),30.99%※,133.16%※,-4.29%,320.00%※,
步骤11:现金流量表- 发行债券收到的现金变动幅度(搜索异常),-100.00%※,663299900.00%※,-100.00%,-100.00%,
步骤11:现金流量表- 筹资活动现金流入小计变动幅度(搜索异常),-45.20%※,278.31%※,34.53%※,-57.19%※,
步骤11:现金流量表- 偿还债务支付的现金变动幅度(搜索异常),169.62%※,-23.05%,172.85%※,-87.11%※,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),26.88%,28.69%,44.26%※,47.28%※,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),97.14%※,-6.16%,96.06%※,-71.73%※,
步骤11:现金流量表- 筹资活动产生的现金流量净额变动幅度(搜索异常),-110.12%※,-1088.94%※,-364.59%,-118.32%,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),-162.25%※,242.64%※,103.29%※,188.39%※,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),128.87%※,60.29%※,42.16%※,17.13%,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),-35.05%※,128.87%※,60.29%※,42.16%※,
步骤11:现金流量表- 净利润变动幅度(搜索异常),31.68%※,45.61%※,54.27%※,12.77%,
步骤11:现金流量表- 无形资产摊销变动幅度(搜索异常),32.78%※,10.82%,4.43%,4.02%,
步骤11:现金流量表- 财务费用变动幅度(搜索异常),80.89%※,0.36%,-5.44%,-39.10%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),-2228.54%※,-119.16%,156.13%,-175.15%,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),16.66%,11.95%,55.27%※,-6.45%,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),-35.05%※,128.87%※,60.29%※,42.16%※,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),128.87%※,60.29%※,42.16%※,17.13%,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),-162.25%※,242.64%※,103.29%※,188.39%※,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",99.34%※,100.45%※,117.71%,110.72%,115.03%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),31.73%,50.29%,48.51%,2.68%※,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",61.99%,60.30%,61.29%,62.06%,66.06%
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),5.62%,6.02%,9.05%,10.67%,11.77%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,104031.0,77164.0,47017.0,28689.0,27174.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),51.04%,49.88%,45.67%,41.39%,40.25%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),94.30%,89.88%,81.68%,74.13%淘汰,82.31%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,97189.0,73806.0,50686.0,32856.0,29135.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),111.46%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",23.14%,24.05%,21.98%,17.13%,17.34%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),157.0,25215.0,18202.0,12998.0,-31464.0淘汰
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,121417.0,106704.0,44036.0,24673.0,21118.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,139.90%※,143.43%※,66.27%,57.65%,46.16%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负负,正负正※,正负负,正负正※,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,-16374.0※,86120.0,34688.0,20143.0,10508.0
