款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),28.51%,29.39%,30.76%,34.41%,37.59%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,201597.0,182267.0,163321.0,133770.0,95439.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),25.98%,24.55%,23.27%,23.08%,21.01%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),107.72%,107.07%,96.49%,95.26%,98.51%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,161425.0,148385.0,146119.0,120681.0,82795.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),106.00%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",23.16%,24.38%,27.78%,29.23%,26.20%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),69131.0,70231.0,80368.0,117316.0,91582.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,27216.0,18070.0,14635.0,19933.0,27808.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,17.50%,11.98%,11.65%,12.90%,24.75%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正正负,正负负,正负负,正负负,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,261130.0,32620.0,-51104.0※,141330.0,87963.0
