款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤11:利润表-营业税金及附加变动幅度(搜索异常),12.79%,34.32%※,29.12%,88.71%※,
步骤11:利润表-销售费用变动幅度(搜索异常),27.48%,-13.86%,77.63%※,13.21%,
步骤11:利润表-营业利润变动幅度(搜索异常),14.99%,31.85%※,60.47%※,9.51%,
步骤11:利润表-利润总额变动幅度(搜索异常),15.65%,31.20%※,61.70%※,8.89%,
步骤11:利润表-所得税费用变动幅度(搜索异常),13.96%,33.54%※,61.49%※,8.66%,
步骤11:利润表-净利润变动幅度(搜索异常),16.23%,30.42%※,61.77%※,8.97%,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),17.05%,30.00%,61.97%※,7.84%,
步骤11:利润表-少数股东损益变动幅度(搜索异常),5.24%,36.27%※,58.96%※,27.35%,
,,,,,
步骤11:现金流量表- 销售商品、提供劳务收到的现金变动幅度(搜索异常),12.71%,30.81%※,5.59%,64.53%※,
步骤11:现金流量表- 客户存款和同业存放款项净增加额变动幅度(搜索异常),-143.29%,-419.54%,-106.57%※,139.22%※,
步骤11:现金流量表- 收取利息、手续费及佣金的现金变动幅度(搜索异常),6.46%,26.56%,115.04%※,65.25%,
步骤11:现金流量表- 经营活动现金流入小计变动幅度(搜索异常),11.30%,32.62%※,0.13%,68.14%※,
步骤11:现金流量表- 购买商品、接受劳务支付的现金变动幅度(搜索异常),4.22%,8.67%,75.83%※,-6.56%,
步骤11:现金流量表- 存放中央银行和同业款项净增加额变动幅度(搜索异常),-589.10%,-89.45%※,272.90%※,-375.91%※,
步骤11:现金流量表- 支付的各项税费变动幅度(搜索异常),24.38%,38.87%※,31.72%※,25.05%,
步骤11:现金流量表- 支付的其他与经营活动有关的现金变动幅度(搜索异常),81.06%※,-0.15%,23.99%,26.99%,
步骤11:现金流量表- 经营活动现金流出小计变动幅度(搜索异常),13.08%,6.07%,51.59%※,32.11%※,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),9.24%,86.82%※,-40.85%※,114.79%※,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),95.98%※,42.82%,10.38%,-50.56%※,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),93.45%※,43.61%,3.06%,-48.57%※,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),22.36%,84.62%※,6.64%,50.35%※,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),22.36%,84.62%※,6.64%,48.85%※,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),-2.38%,92.16%※,-56.69%※,186.35%※,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),31.12%※,19.32%,80.55%※,39.14%※,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),23.17%,31.12%※,19.32%,80.55%※,
步骤11:现金流量表- 净利润变动幅度(搜索异常),16.23%,30.42%※,61.77%※,8.97%,
步骤11:现金流量表- 经营性应收项目的减少变动幅度(搜索异常),551.52%※,-214.59%,-105.98%※,-214.38%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),-154.78%※,-145.89%※,-145.56%※,38.15%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),9.24%,86.82%※,-40.85%※,114.79%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),23.17%,31.12%※,19.32%,80.55%※,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),31.12%※,19.32%,80.55%※,39.14%※,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),-2.38%,92.16%※,-56.69%※,186.35%※,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",111.18%,114.44%,110.66%,157.00%,113.54%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),16.01%,26.49%,49.81%,18.99%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",91.30%,91.14%,89.80%,91.23%,92.23%
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),11.06%,10.73%,13.24%,15.10%,16.22%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,5581184.0,4793252.0,3622232.0,2310810.0,2144153.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),65.33%,65.09%,62.22%,59.46%,65.65%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),94.95%,94.30%,93.50%,96.45%,97.45%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,4397000.0,3782962.0,2900642.0,1793064.0,1645500.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),112.70%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",30.30%,31.20%,29.61%,22.94%,24.25%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),2386007.0,2377905.0,1213229.0,2817755.0,1098498.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,314886.0,160675.0,112502.0,101918.0,206147.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,6.96%※,3.88%※,5.08%※,2.72%※,11.82%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负负,正负负,正负负,正负负,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,4287795.0,3975630.0,2103847.0,3636482.0,1533736.0
