款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤11:现金流量表- 偿还债务支付的现金变动幅度(搜索异常),-100.00%,-99.92%,-68.00%,-87.29%※,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),24.01%,37.07%※,8.13%,73.74%※,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),9.86%,683.92%※,-86.50%※,-260.56%※,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),66.76%※,9.31%,221.88%※,-58.02%※,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),43.98%※,66.76%※,9.31%,221.88%※,
步骤11:现金流量表- 净利润变动幅度(搜索异常),-3.84%,37.90%※,30.99%※,36.78%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),22.12%,-6.70%,-12.63%,30.59%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),25.66%,43.78%※,30.19%※,41.46%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),43.98%※,66.76%※,9.31%,221.88%※,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),66.76%※,9.31%,221.88%※,-58.02%※,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),9.86%,683.92%※,-86.50%※,-260.56%※,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",113.12%,110.08%,112.16%,112.67%,113.06%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),-3.72%※,27.76%,20.61%,24.15%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",84.00%,84.79%,84.95%,85.24%,84.34%
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),53.42%※,54.15%※,58.88%※,60.83%淘汰,62.71%淘汰
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,203469.0,207283.0,137240.0,106057.0,75556.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),29.32%,28.76%,24.32%,22.67%,20.05%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),107.48%,104.86%,95.60%,97.48%,94.50%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,162297.0,168786.0,122395.0,93436.0,68312.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),107.35%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",26.59%,30.93%,27.79%,25.54%,25.73%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),90987.0,72294.0,42159.0,17370.0,-36793.0淘汰
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,54644.0,66806.0,74625.0,32349.0,39598.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,25.44%,39.09%,62.78%,35.43%,61.35%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负负,正负负,正负正※,正负正※,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,170322.0,144598.0,67250.0,114710.0,-5894.0※
