款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤5:总资产(判断公司实力) 人工对照同行业公司,425687.0,265657.0,218732.0,182144.0,94556.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,60.24%,21.45%,20.09%,92.63%,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),38.11%,26.00%,22.76%,9.69%,24.01%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),580.72%※,168.98%※,144.95%※,0.00%,48.77%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,-72827.0※,-39156.0※,-26195.0※,-21803.0※,-12162.0※
步骤8:应付预收/应收预付 1(判断公司地位),4.24%※,8.13%※,8.11%※,2.83%※,3.83%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),36.08%,40.08%淘汰,37.05%,32.35%,51.76%淘汰
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.08%,0.13%,0.00%,0.00%,0.00%
,,,,,
步骤11:利润表-营业总收入变动幅度(搜索异常),38.85%※,37.82%※,42.84%※,36.81%※,
步骤11:利润表-营业收入变动幅度(搜索异常),38.85%※,37.82%※,42.84%※,36.81%※,
步骤11:利润表-营业总成本变动幅度(搜索异常),39.51%※,41.98%※,57.14%※,44.87%※,
步骤11:利润表-营业成本变动幅度(搜索异常),38.06%※,42.52%※,65.77%※,40.74%※,
步骤11:利润表-研发费用变动幅度(搜索异常),46.62%※,212729900.00%※,-100.00%,-100.00%,
步骤11:利润表-销售费用变动幅度(搜索异常),39.43%※,34.72%※,59.82%※,35.02%※,
步骤11:利润表-管理费用变动幅度(搜索异常),37.05%※,-56.27%※,35.48%※,62.98%※,
步骤11:利润表-营业利润变动幅度(搜索异常),36.75%※,29.19%,28.33%,26.41%,
步骤11:利润表-利润总额变动幅度(搜索异常),35.32%※,27.09%,26.30%,25.54%,
步骤11:利润表-净利润变动幅度(搜索异常),36.85%※,27.87%,28.57%,25.80%,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),37.61%※,25.98%,27.68%,25.80%,
,,,,,
步骤11:现金流量表- 销售商品、提供劳务收到的现金变动幅度(搜索异常),24.51%,37.85%※,45.94%※,35.05%※,
步骤11:现金流量表- 经营活动现金流入小计变动幅度(搜索异常),28.16%,38.49%※,45.27%※,34.08%※,
步骤11:现金流量表- 购买商品、接受劳务支付的现金变动幅度(搜索异常),34.76%※,41.13%※,157.98%※,16.22%,
步骤11:现金流量表- 支付给职工以及为职工支付的现金变动幅度(搜索异常),38.80%※,37.35%※,29.23%,34.55%※,
步骤11:现金流量表- 支付的各项税费变动幅度(搜索异常),1.93%,16.38%,25.66%,38.84%※,
步骤11:现金流量表- 支付的其他与经营活动有关的现金变动幅度(搜索异常),19.61%,72.54%※,17.03%,61.42%※,
步骤11:现金流量表- 经营活动现金流出小计变动幅度(搜索异常),27.85%,39.67%※,62.74%※,33.70%※,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),28.94%,35.70%※,15.85%,34.73%※,
步骤11:现金流量表- 收到的其他与投资活动有关的现金变动幅度(搜索异常),64.24%※,-50.78%※,502.19%※,648309900.00%※,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),64.27%※,-50.78%※,502.15%※,6419305.94%※,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),85.79%※,-9.89%,91.72%※,7.04%,
步骤11:现金流量表- 支付的其他与投资活动有关的现金变动幅度(搜索异常),91.02%※,-46.42%※,140.89%※,1438599900.00%※,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),93.70%※,-43.68%※,139.26%※,656.06%※,
步骤11:现金流量表- 吸收投资收到的现金变动幅度(搜索异常),854.54%,-60.96%,-98.90%※,584639900.00%※,
步骤11:现金流量表- 取得借款收到的现金变动幅度(搜索异常),1696.03%※,-14.24%,637.99%,-88.18%※,
步骤11:现金流量表- 筹资活动现金流入小计变动幅度(搜索异常),1688.58%※,-15.40%,-86.76%※,617.91%※,
步骤11:现金流量表- 偿还债务支付的现金变动幅度(搜索异常),6138.07%※,-87.94%,-60.06%※,415.89%※,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),13.20%,-27.99%,11198.64%※,-94.24%※,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),109.70%※,-26.62%,298.38%※,36.41%※,
步骤11:现金流量表- 筹资活动产生的现金流量净额变动幅度(搜索异常),-270.30%※,-28.89%,-181.52%※,-14824.53%※,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),158.46%,-204.75%,-79.09%,-269.25%※,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),113.84%,-52.07%,-71.36%※,72.87%※,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),137.60%,113.84%,-52.07%,-71.36%※,
步骤11:现金流量表- 净利润变动幅度(搜索异常),36.85%※,27.87%,28.57%,25.80%,
步骤11:现金流量表- 固定资产折旧、油气资产折耗、生产性物资折旧变动幅度(搜索异常),35.29%※,43.40%※,36.10%※,51.24%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),33.21%※,110.97%※,-29.50%,301.29%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),28.94%,35.70%※,15.85%,34.73%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),137.60%,113.84%,-52.07%,-71.36%※,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),113.84%,-52.07%,-71.36%※,72.87%※,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),158.46%,-204.75%,-79.09%,-269.25%※,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",101.67%※,113.38%,113.35%,110.94%,112.39%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),38.85%,37.82%,42.84%,36.81%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",66.57%,66.38%,67.49%,71.98%,72.77%
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),21.03%,21.02%,31.37%,30.38%,28.11%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,116894.0,84459.0,48408.0,39764.0,31443.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),43.63%,43.77%,34.57%,40.57%,43.88%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),131.97%,129.03%,93.99%,97.51%,96.80%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,78690.0,57501.0,44969.0,34976.0,27803.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),110.80%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",30.28%,29.17%,26.78%,21.26%,38.69%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),-3803.0淘汰,17771.0,-10458.0淘汰,23298.0,17442.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,76207.0,41017.0,45517.0,23742.0,22181.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,90.41%,62.74%,94.49%,57.10%,71.87%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负正※,正负负,正负负,正负正※,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,42559.0,33661.0,39556.0,-13626.0※,14802.0
