款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
"步骤4:(搜索步骤3中异常科目,查明原因)",,,,,
,,,,,
步骤5:总资产(判断公司实力) 人工对照同行业公司,6046127.0,4760620.0,4930036.0,3926227.0,3963097.0
步骤5:资产变动幅度(判断公司扩张速度) 10%以上优秀,27.00%,-3.44%※,25.57%,-0.93%※,
,,,,,
步骤6:资产负债率 60%以上淘汰(判断债务比例),56.54%,41.11%,48.80%,40.82%,49.17%
,,,,,
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),60.37%,14.10%,36.17%,1.09%,47.34%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,332575.0,193528.0,219868.0,268440.0,126477.0
步骤8:应付预收/应收预付 1(判断公司地位),211.07%,170.59%,202.64%,315.63%,194.82%
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),40.46%淘汰,36.50%,30.75%,37.02%,38.71%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.88%,1.75%,1.32%,1.56%,2.49%
,,,,,
步骤11:利润表-管理费用变动幅度(搜索异常),43.80%※,-10.17%,-4.04%,0.01%,
,,,,,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),-1.96%,23.10%,-45.34%※,34.40%※,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),81.57%※,51.90%※,-1.98%,-6.38%,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),58.76%※,105.70%※,-32.72%※,32.43%※,
步骤11:现金流量表- 取得借款收到的现金变动幅度(搜索异常),232.53%※,-41.10%※,1438.18%※,-94.92%※,
步骤11:现金流量表- 筹资活动现金流入小计变动幅度(搜索异常),283.88%※,-42.37%※,1477.76%※,-94.92%※,
步骤11:现金流量表- 偿还债务支付的现金变动幅度(搜索异常),-12.22%,1409.33%※,-88.62%※,-50.86%※,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),0.30%,14.23%,38.51%※,4.41%,
步骤11:现金流量表- 支付其他与筹资活动有关的现金变动幅度(搜索异常),15607.45%※,26.93%,9713.40%,-99.97%,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),28.34%,240.55%※,-50.61%※,-45.24%※,
步骤11:现金流量表- 筹资活动产生的现金流量净额变动幅度(搜索异常),-90.54%,-365.22%※,-145.98%※,40.38%,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),-65.26%,-195.31%※,658.49%※,-507.79%,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),-34.65%※,57.11%※,8.14%,-1.96%,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),-18.42%,-34.65%※,57.11%※,8.14%,
步骤11:现金流量表- 经营性应收项目的减少变动幅度(搜索异常),138.16%,-44.48%,-157.83%※,325.75%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),31.54%,60.80%,-56.22%※,106.24%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),-1.96%,23.10%,-45.34%※,34.40%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),3.38%,-48.42%※,57.11%※,8.14%,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),-48.42%※,57.11%※,8.14%,-1.96%,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),-65.26%,-195.31%※,658.49%※,-507.79%,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",112.72%,113.03%,112.07%,112.11%,115.13%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),13.97%,16.92%,12.00%,0.75%※,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",37.35%※,37.82%※,37.28%※,37.94%※,35.89%※
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),28.17%,28.81%,27.89%,29.13%,27.92%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,767784.0,664726.0,572108.0,486963.0,422522.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),8.53%淘汰,8.42%淘汰,8.47%淘汰,8.07%淘汰,7.06%淘汰
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),93.70%,87.72%,80.88%,73.43%淘汰,76.49%淘汰
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,695073.0,645200.0,600281.0,566904.0,465443.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),156.21%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",26.53%,23.07%,23.90%,24.53%,23.18%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),-777127.0淘汰,-868448.0淘汰,98620.0,189973.0,-825331.0淘汰
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,924286.0,509060.0,335136.0,341901.0,365213.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,109.31%※,59.02%,47.83%,26.67%,38.30%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负负,正负负,正负正※,正负负,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,190745.0,-279845.0※,1139000.0,377091.0,241505.0
