款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),-35.60%※,76.32%※,-71.85%※,8.61%,
步骤11:现金流量表- 投资活动产生的现金流量净额变动幅度(搜索异常),60.04%,-171.11%※,-216.16%※,345.01%,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),1.57%,50.69%※,98.40%※,-0.00%,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),1.52%,50.77%※,98.40%※,-12.67%,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),20.59%,-105.79%※,8815.24%※,-360.39%,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),-3.33%,135.08%※,1.54%,-0.58%,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),-4.15%,-3.33%,135.08%※,1.54%,
步骤11:现金流量表- 净利润变动幅度(搜索异常),21.85%,23.70%,50.59%※,30.21%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),-10.62%,-62.96%※,176.37%※,520.48%,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),22.97%,-1.38%,68.12%※,71.41%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),-4.15%,-3.33%,135.08%※,1.54%,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),-3.33%,135.08%※,1.54%,-0.58%,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),20.59%,-105.79%※,8815.24%※,-360.39%,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",118.73%,114.48%,121.43%,119.74%,117.78%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),20.24%,36.49%,54.18%,28.54%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",53.53%,51.54%,53.94%,54.83%,52.84%
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),19.14%,16.79%,21.16%,20.28%,24.22%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,57990.0,47548.0,32613.0,22359.0,14623.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),34.43%,33.94%,31.78%,33.59%,28.24%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),108.53%,107.07%,90.86%,94.30%,80.71%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,46001.0,37753.0,30519.0,20266.0,15564.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),123.60%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",30.28%,27.66%,23.33%,17.61%,14.92%淘汰
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),20253.0,10683.0,21495.0,13371.0,3164.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,27960.0,29172.0,10250.0,4606.0,3916.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,51.45%,66.02%,22.88%,17.28%,25.19%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负负,正负负,正正负,正负负,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,26929.0,27046.0,69053.0,10552.0,9788.0
