款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤7:有息负债/货币资金 100%以上淘汰(步骤6 40%以上则需要 判断偿债危机),137.40%※,133.37%※,68.55%,24.21%,24.53%
,,,,,
步骤8:应付预收-应收预付 0(判断公司地位) 人工对照同行业公司,-113042.0※,-89556.0※,-55796.0※,-33313.0※,-25111.0※
步骤8:应付预收/应收预付 1(判断公司地位),11.81%※,9.39%※,13.21%※,11.15%※,11.75%※
,,,,,
步骤9:(固定资产+在建工程+工程物资)/资产总计 40%以上淘汰(判断公司轻重),17.87%,17.33%,13.50%,19.25%,22.38%
,,,,,
步骤10:(可供出售金融资产+持有至到期投资+投资性房地产)/资产总计 10%以下优秀(判断公司专注度),0.00%,15.81%※,12.46%※,19.76%※,8.12%
,,,,,
步骤11:利润表-营业总收入变动幅度(搜索异常),24.74%,34.31%※,49.06%※,26.37%,
步骤11:利润表-营业收入变动幅度(搜索异常),24.74%,34.31%※,49.06%※,26.37%,
步骤11:利润表-营业总成本变动幅度(搜索异常),18.28%,31.77%※,48.15%※,28.98%,
步骤11:利润表-营业成本变动幅度(搜索异常),19.31%,32.52%※,48.58%※,27.51%,
步骤11:利润表-销售费用变动幅度(搜索异常),27.01%,6.66%,51.11%※,26.51%,
步骤11:利润表-管理费用变动幅度(搜索异常),21.75%,26.71%,34.86%※,34.61%※,
步骤11:利润表-营业利润变动幅度(搜索异常),29.79%,40.18%※,58.64%※,16.62%,
步骤11:利润表-利润总额变动幅度(搜索异常),33.33%※,34.38%※,50.11%※,24.37%,
步骤11:利润表-所得税费用变动幅度(搜索异常),30.13%※,34.16%※,100.09%※,3.10%,
步骤11:利润表-净利润变动幅度(搜索异常),34.27%※,34.45%※,39.79%※,29.90%,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),36.67%※,35.88%※,33.19%※,30.24%※,
,,,,,
步骤11:现金流量表- 销售商品、提供劳务收到的现金变动幅度(搜索异常),28.35%,32.43%※,46.39%※,26.18%,
步骤11:现金流量表- 收到的其他与经营活动有关的现金变动幅度(搜索异常),-31.29%,-23.81%,195.03%※,82.52%,
步骤11:现金流量表- 经营活动现金流入小计变动幅度(搜索异常),26.43%,29.35%,50.54%※,27.25%,
步骤11:现金流量表- 购买商品、接受劳务支付的现金变动幅度(搜索异常),20.60%,36.35%※,38.38%※,27.69%,
步骤11:现金流量表- 支付给职工以及为职工支付的现金变动幅度(搜索异常),25.74%,37.31%※,41.27%※,33.66%※,
步骤11:现金流量表- 支付的各项税费变动幅度(搜索异常),51.76%※,53.60%※,43.08%※,12.95%,
步骤11:现金流量表- 支付的其他与经营活动有关的现金变动幅度(搜索异常),10.47%,30.18%※,46.03%※,20.39%,
步骤11:现金流量表- 经营活动现金流出小计变动幅度(搜索异常),21.69%,36.06%※,41.27%※,26.85%,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),48.47%※,5.22%,97.07%※,29.29%,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),180.84%※,644.35%※,-83.42%※,-33.01%※,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),174.46%※,388.46%※,-73.64%※,-30.41%※,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),-8.03%,33.88%※,92.49%※,20.62%,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),32.12%※,250.88%※,-61.80%※,9.41%,
步骤11:现金流量表- 取得子公司及其他营业单位支付的现金净额变动幅度(搜索异常),140.10%※,-78.26%※,1833749900.00%※,-100.00%※,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),36.65%※,-17.50%,146.08%※,-6.94%,
步骤11:现金流量表- 吸收投资收到的现金变动幅度(搜索异常),30.04%,-96.10%※,309.40%※,584.97%※,
步骤11:现金流量表- 取得借款收到的现金变动幅度(搜索异常),429.80%※,-67.79%※,1667849900.00%※,-100.00%※,
步骤11:现金流量表- 筹资活动现金流入小计变动幅度(搜索异常),336.20%※,-80.49%※,691.83%※,83.34%※,
步骤11:现金流量表- 偿还债务支付的现金变动幅度(搜索异常),225.07%※,230.64%※,10256.50%,1839900.00%,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),2.54%,161.74%※,-29.43%,196.24%※,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),87.88%※,206.88%※,53.26%※,83.20%※,
步骤11:现金流量表- 筹资活动产生的现金流量净额变动幅度(搜索异常),-120.48%,-127.01%※,2331.89%※,83.73%,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),-140.49%※,-175.76%※,2784.96%※,-184.05%,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),-52.37%※,223.90%※,8.48%,-9.10%,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),44.52%※,-52.37%※,224.09%※,8.42%,
步骤11:现金流量表- 净利润变动幅度(搜索异常),34.27%※,34.45%※,39.79%※,29.90%,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),-87.47%,-72.70%※,731.60%※,2.41%,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),48.47%※,5.22%,97.07%※,29.29%,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),44.52%※,-52.37%※,224.09%※,8.42%,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),-52.37%※,223.90%※,8.48%,-9.10%,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),-140.49%※,-175.76%※,2784.96%※,-184.05%,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",98.40%※,95.63%※,96.98%※,98.75%※,98.90%※
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),24.74%,34.31%,49.06%,26.37%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",49.30%,47.00%,46.28%,46.11%,46.59%
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),23.56%,23.69%,27.17%,28.48%,27.51%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,247427.0,180831.0,108370.0,69315.0,60473.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),24.77%,22.58%,18.17%,17.33%,19.10%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),134.45%,131.02%,105.51%,101.31%,109.92%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,143116.0,106585.0,79276.0,56711.0,43658.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),139.89%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",20.91%,17.72%,14.23%淘汰,20.04%,17.87%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),-91317.0淘汰,-6944.0淘汰,72305.0,21801.0,29393.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,74563.0,81069.0,60555.0,31458.0,26080.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,35.87%,57.91%,45.52%,46.60%,49.95%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负正※,正负负,正负正※,正负正※,正负正※
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,107891.0,-62848.0※,181070.0,36719.0,3975.0
