款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),119.54%※,-1.59%,17.44%,-14.11%,
步骤11:现金流量表- 筹资活动产生的现金流量净额变动幅度(搜索异常),-381.19%,-362.06%,-80.87%,-208.64%※,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),-423.99%,1053.28%,-9.29%,-96.35%※,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),13.70%,6.28%,1.41%,62.96%※,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),-39.03%※,19.33%,1.26%,1.41%,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),-360.44%,117.47%,-115.94%※,196.61%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),65.77%※,-9.17%,-38.66%※,39.81%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),-39.03%※,19.33%,1.26%,1.41%,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),13.70%,6.28%,1.41%,62.96%※,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),-423.99%,1053.28%,-9.29%,-96.35%※,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",110.48%,115.79%,109.49%※,118.31%,117.34%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),7.52%※,-3.17%※,7.25%※,4.30%※,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",31.28%※,33.32%※,33.31%※,38.68%※,36.11%※
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),24.62%,26.99%,26.89%,31.63%,31.35%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,131124.0,103154.0,101860.0,101633.0,68538.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),5.81%淘汰,4.92%淘汰,4.70%淘汰,5.03%淘汰,3.54%淘汰
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),122.11%,130.19%,101.58%,99.94%,97.23%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,68245.0,52659.0,81811.0,67526.0,49610.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),310.75%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",8.72%淘汰,6.40%淘汰,11.52%淘汰,11.28%淘汰,9.22%淘汰
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),-649105.0淘汰,-305590.0淘汰,-134637.0淘汰,-105797.0淘汰,-238339.0淘汰
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,205279.0,183479.0,125884.0,128997.0,216598.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,85.19%,126.22%※,78.66%,49.44%,116.05%※
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负负,正负正※,正负负,正负负,正负正※
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,-126930.0※,81217.0,72963.0,29785.0,178368.0
