款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤11:利润表-销售费用变动幅度(搜索异常),5.80%,1.16%,54.83%※,1.84%,
步骤11:利润表-营业利润变动幅度(搜索异常),16.58%,30.69%※,30.74%※,55.37%※,
步骤11:利润表-利润总额变动幅度(搜索异常),17.09%,30.10%※,25.28%,43.39%※,
步骤11:利润表-净利润变动幅度(搜索异常),16.16%,33.21%※,24.65%,49.70%※,
步骤11:利润表-归属于母公司所有者的净利润变动幅度(搜索异常),18.19%,34.01%※,25.08%,46.55%※,
,,,,,
步骤11:现金流量表- 支付的各项税费变动幅度(搜索异常),2.19%,6.50%,16.93%,38.45%※,
步骤11:现金流量表- 支付的其他与经营活动有关的现金变动幅度(搜索异常),47.68%※,11.29%,58.18%,-6.95%,
步骤11:现金流量表- 经营活动产生的现金流量净额变动幅度(搜索异常),46.34%※,11.21%,-3.85%,71.77%※,
步骤11:现金流量表- 收回投资所收到的现金变动幅度(搜索异常),-0.13%,-3.50%,52.83%※,18.85%,
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),-2.50%,-1.56%,51.95%※,17.41%,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),-3.34%,-6.86%,53.32%※,13.52%,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),-4.79%,-4.79%,51.13%※,13.80%,
步骤11:现金流量表- 发行债券收到的现金变动幅度(搜索异常),-100.00%,-100.00%,-100.00%,-100.00%※,
步骤11:现金流量表- 筹资活动现金流入小计变动幅度(搜索异常),4986.80%,-95.67%,149.15%,-95.19%※,
步骤11:现金流量表- 偿还债务支付的现金变动幅度(搜索异常),1341.74%※,-71.81%,208.92%,-63.96%,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),171.21%※,-17.21%,60.19%,-14.52%,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),60.33%※,-45.46%※,24.48%,31.17%※,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),77.75%※,60.33%※,-45.46%※,24.48%,
步骤11:现金流量表- 净利润变动幅度(搜索异常),16.16%,33.21%※,24.65%,49.70%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),46.34%※,11.21%,-3.85%,71.77%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),77.75%※,60.33%※,-45.46%※,24.48%,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),60.33%※,-45.46%※,24.48%,31.17%※,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",118.35%,112.03%,115.05%,117.20%,115.72%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),12.20%,15.43%,14.29%,14.48%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",39.55%※,39.11%※,39.27%※,36.69%※,35.07%※
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),16.07%,16.97%,21.46%,19.77%,21.81%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,98753.0,79893.0,53441.0,42938.0,27502.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),21.12%,19.18%,14.81%淘汰,13.60%淘汰,9.97%淘汰
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),106.41%,100.80%,87.73%,88.30%,81.10%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,79133.0,68124.0,51140.0,41026.0,27406.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),131.31%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",18.18%,16.85%,14.43%淘汰,12.95%淘汰,9.84%淘汰
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),18185.0,32533.0,19590.0,34876.0,3808.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,23398.0,35506.0,20683.0,20939.0,17329.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,22.10%,49.07%,31.79%,30.94%,43.99%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正负负,正负负,正负负,正负负,正负正※
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,53897.0,38253.0,576.0,25263.0,21425.0
