款项名称,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
步骤11:现金流量表- 投资活动现金流入小计变动幅度(搜索异常),12.28%,-21.48%,46.38%※,-26.25%,
步骤11:现金流量表- 购建固定资产、无形资产和其他长期资产所支付的现金变动幅度(搜索异常),-23.36%,-16.80%,88.92%※,5.09%,
步骤11:现金流量表- 投资所支付的现金变动幅度(搜索异常),-95.51%※,89.19%※,-48.20%※,249999900.00%※,
步骤11:现金流量表- 支付的其他与投资活动有关的现金变动幅度(搜索异常),-68.65%※,46.19%※,-2.33%,-20.37%,
步骤11:现金流量表- 投资活动现金流出小计变动幅度(搜索异常),-66.63%※,37.17%※,-1.25%,3.03%,
步骤11:现金流量表- 投资活动产生的现金流量净额变动幅度(搜索异常),-160.73%※,1154.26%,-86.28%,253.79%,
步骤11:现金流量表- 分配股利、利润或偿付利息所支付的现金变动幅度(搜索异常),30.01%※,27.05%,37.16%※,30.00%,
步骤11:现金流量表- 筹资活动现金流出小计变动幅度(搜索异常),30.01%※,27.05%,37.16%※,29.36%,
步骤11:现金流量表- 现金及现金等价物净增加额变动幅度(搜索异常),-238.02%※,-200.99%※,37.41%※,86.59%※,
步骤11:现金流量表- 加:期初现金及现金等价物余额变动幅度(搜索异常),-29.56%,41.39%※,43.10%※,30.04%※,
步骤11:现金流量表- 期末现金及现金等价物余额变动幅度(搜索异常),57.92%※,-29.56%,41.39%※,43.10%※,
步骤11:现金流量表- 净利润变动幅度(搜索异常),0.57%,19.26%,22.41%,38.46%※,
步骤11:现金流量表- 经营性应付项目的增加变动幅度(搜索异常),-214.08%,-73.98%,-55.93%※,410.79%※,
步骤11:现金流量表- 经营活动产生现金流量净额变动幅度(搜索异常),-6.50%,1.58%,-2.82%,94.83%※,
步骤11:现金流量表- 现金的期末余额变动幅度(搜索异常),57.92%※,-29.56%,41.39%※,43.10%※,
步骤11:现金流量表- 现金的期初余额变动幅度(搜索异常),-29.56%,41.39%※,43.10%※,30.04%※,
步骤11:现金流量表- 现金及现金等价物的净增加额变动幅度(搜索异常),-238.02%※,-200.99%※,37.41%※,86.59%※,
,,,,,
"步骤12:(搜索步骤11中异常科目,查明原因)",,,,,
,,,,,
"步骤13:销售商品、提供劳务收到的现金/营业收入 110%以上优秀(判断公司行业地位,产品竞争力)",113.72%,114.10%,117.37%,122.70%,115.72%
步骤13:营业收入增长率 10%以上优秀(判断公司成长性),2.07%※,17.08%,17.51%,20.94%,
,,,,,
"步骤14:毛利率=(营业收入-营业成本)/营业收入 40%以上优秀(判断公司行业地位,产品竞争力)",46.43%,46.77%,46.72%,46.55%,43.82%
,,,,,
步骤15.费用率=(销售费用+管理费用)/营业收入 40%以下优秀 && 60%以上淘汰(判断公司成本管控能力),18.42%,18.41%,22.72%,22.26%,22.60%
,,,,,
步骤16.主营利润=营业收入-营业成本-营业税金及附加-销售费用-管理费用-财务费用 0以下淘汰(判断公司盈利能力) 人工对照同行业公司,130093.0,126412.0,90162.0,77766.0,56484.0
步骤16.主营利润率=主营利润/营业收入 15%以下淘汰(判断公司盈利能力),27.89%,27.66%,23.10%,23.41%,20.57%
步骤16.主营利润/利润总额 80%以下淘汰(判断公司盈利能力),108.79%,108.51%,93.60%,97.76%,97.70%
,,,,,
步骤17.净利润 0以下淘汰(判断公司的经营成果及含金量) 人工对照同行业公司,98476.0,97914.0,82099.0,67070.0,48441.0
步骤17.五年净利润现金比率=经营活动产生的现金流量净额/净利润(判断公司的经营成果及含金量),108.13%,,,,
,,,,,
"步骤18.ROE(净资产收益率)=归母净利润/归母股东权益 15%以上优秀 15%以下淘汰(注:这不是加权值,如因此被淘汰,可查询正规结果)",25.30%,26.85%,25.68%,24.42%,20.24%
,,,,,
步骤19.经营活动产生的现金流量净额-固定资产折旧-无形资产摊销-借款利息-现金股利 持续0以下淘汰(判断公司造血能力),-20.0淘汰,25886.0,37953.0,54386.0,15359.0
,,,,,
步骤20.购建固定资产、无形资产和其他长期资产支付的现金 (判断公司未来成长能力) 和其他公司做对比,16911.0,22065.0,26521.0,14038.0,13358.0
步骤20.购建固定资产、无形资产和其他长期资产支付的现金/经营活动产生的现金流量净额 (判断公司未来成长能力) 10%-60%优秀 连续两年>100%或<10%淘汰,18.90%,23.06%,28.16%,14.48%,26.85%
,,,,,
步骤21.分配给普通股股东及限制性股票持有者股利支付的现金 分红率低于30%淘汰 人工校验,,,,,
,,,,,
步骤22.三大活动现金流量净额的组合类型 连续两年不为'正负负'/'正正负'淘汰.,正正负,正负负,正负负,正负负,正负负
,,,,,
步骤23.现金及现金等价物的净增加额+现金分红<0淘汰(判断公司稳定性).,136736.0,18429.0,89286.0,65043.0,42960.0
